Registration id|Subject|Quiz|Assignment|Mid Term|Presentation|Project|Final|Total|Grade|
bsse02163133|Java|5|5|10|10|20|40|80|A|
bsse02163134|Java|5|5|10|10|20|40|80|A|
bsse02163135|Java|5|5|10|10|20|40|80|A|
bsse02163136|Java|5|5|10|10|20|40|80|A|
bsse02163137|Java|5|5|10|10|20|40|80|A|
bsse02163138|Java|5|5|10|10|20|40|80|A|
bsse02163139|Java|5|5|10|10|20|40|80|A|
bsse02163140|Java|5|5|10|10|20|40|80|A|
bsse02163141|Java|5|5|10|10|20|40|80|A|
bsse02163142|Java|5|5|10|10|20|40|80|A|
bsse02163144|Java|5|5|10|10|20|40|80|A|
bsse02163145|Java|5|5|10|10|20|40|80|A|
bsse02163146|Java|5|5|10|10|20|40|80|A|
bsse02163147|Java|5|5|10|10|20|40|80|A|
bsse02163148|Java|5|5|10|10|20|40|80|A|

bsse02163133|PP|5|5|10|10|20|40|80|A|
bsse02163134|PP|5|5|10|10|20|40|80|A|
bsse02163135|PP|5|5|10|10|20|40|80|A|
bsse02163136|PP|5|5|10|10|20|40|80|A|
bsse02163137|PP|5|5|10|10|20|40|80|A|
bsse02163138|PP|5|5|10|10|20|40|80|A|
bsse02163139|PP|5|5|10|10|20|40|80|A|
bsse02163140|PP|5|5|10|10|20|40|80|A|
bsse02163141|PP|5|5|10|10|20|40|80|A|
bsse02163142|PP|5|5|10|10|20|40|80|A|
bsse02163143|PP|5|5|10|10|20|40|80|A|
bsse02163144|PP|5|5|10|10|20|40|80|A|
bsse02163145|PP|5|5|10|10|20|40|80|A|
bsse02163146|PP|5|5|10|10|20|40|80|A|
bsse02163147|PP|5|5|10|10|20|40|80|A|
bsse02163148|PP|5|5|10|10|20|40|80|A|

bsse02163133|HRM|5|5|10|10|20|40|80|A|
bsse02163134|HRM|5|5|10|10|20|40|80|A|
bsse02163135|HRM|5|5|10|10|20|40|80|A|
bsse02163136|HRM|5|5|10|10|20|40|80|A|
bsse02163137|HRM|5|5|10|10|20|40|80|A|
bsse02163138|HRM|5|5|10|10|20|40|80|A|
bsse02163139|HRM|5|5|10|10|20|40|80|A|
bsse02163140|HRM|5|5|10|10|20|40|80|A|
bsse02163141|HRM|5|5|10|10|20|40|80|A|
bsse02163142|HRM|5|5|10|10|20|40|80|A|
bsse02163143|HRM|5|5|10|10|20|40|80|A|
bsse02163144|HRM|5|5|10|10|20|40|80|A|
bsse02163145|HRM|5|5|10|10|20|40|80|A|
bsse02163146|HRM|5|5|10|10|20|40|80|A|
bsse02163147|HRM|5|5|10|10|20|40|80|A|
bsse02163148|HRM|5|5|10|10|20|40|80|A|

bsse02163133|CCN|5|5|10|10|20|40|80|A|
bsse02163134|CCN|5|5|10|10|20|40|80|A|
bsse02163135|CCN|5|5|10|10|20|40|80|A|
bsse02163136|CCN|5|5|10|10|20|40|80|A|
bsse02163137|CCN|5|5|10|10|20|40|80|A|
bsse02163138|CCN|5|5|10|10|20|40|80|A|
bsse02163139|CCN|5|5|10|10|20|40|80|A|
bsse02163140|CCN|5|5|10|10|20|40|80|A|
bsse02163141|CCN|5|5|10|10|20|40|80|A|
bsse02163142|CCN|5|5|10|10|20|40|80|A|
bsse02163143|CCN|5|5|10|10|20|40|80|A|
bsse02163144|CCN|5|5|10|10|20|40|80|A|
bsse02163145|CCN|5|5|10|10|20|40|80|A|
bsse02163146|CCN|5|5|10|10|20|40|80|A|
bsse02163147|CCN|5|5|10|10|20|40|80|A|
bsse02163148|CCN|5|5|10|10|20|40|80|A|

bsse02163133|Linear|5|5|10|10|20|40|80|A|
bsse02163134|Linear|5|5|10|10|20|40|80|A|
bsse02163135|Linear|5|5|10|10|20|40|80|A|
bsse02163136|Linear|5|5|10|10|20|40|80|A|
bsse02163137|Linear|5|5|10|10|20|40|80|A|
bsse02163138|Linear|5|5|10|10|20|40|80|A|
bsse02163139|Linear|5|5|10|10|20|40|80|A|
bsse02163140|Linear|5|5|10|10|20|40|80|A|
bsse02163141|Linear|5|5|10|10|20|40|80|A|
bsse02163142|Linear|5|5|10|10|20|40|80|A|
bsse02163143|Linear|5|5|10|10|20|40|80|A|
bsse02163144|Linear|5|5|10|10|20|40|80|A|
bsse02163145|Linear|5|5|10|10|20|40|80|A|
bsse02163146|Linear|5|5|10|10|20|40|80|A|
bsse02163147|Linear|5|5|10|10|20|40|80|A|
bsse02163148|Linear|5|5|10|10|20|40|80|A|


bsse02163133|DSA|5|5|10|10|20|40|80|A|
bsse02163134|DSA|5|5|10|10|20|40|80|A|
bsse02163135|DSA|5|5|10|10|20|40|80|A|
bsse02163136|DSA|5|5|10|10|20|40|80|A|
bsse02163137|DSA|5|5|10|10|20|40|80|A|
bsse02163138|DSA|5|5|10|10|20|40|80|A|
bsse02163139|DSA|5|5|10|10|20|40|80|A|
bsse02163140|DSA|5|5|10|10|20|40|80|A|
bsse02163141|DSA|5|5|10|10|20|40|80|A|
bsse02163142|DSA|5|5|10|10|20|40|80|A|
bsse02163143|DSA|5|5|10|10|20|40|80|A|
bsse02163143|DSA|5|5|10|10|20|40|80|A|
bsse02163145|DSA|5|5|10|10|20|40|80|A|
bsse02163146|DSA|5|5|10|10|20|40|80|A|
bsse02163147|DSA|5|5|10|10|20|40|80|A|
bsse02163148|DSA|5|5|10|10|20|40|80|A|
